State/Territory,Sewershed_ID,Counties_Served,Population_Served,WVAL_Category,Reporting_Week,date_updated
"Arkansas","ID:69","Boone","15000","Very High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:103","Humboldt","45000","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:99","Contra Costa","102000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:98","Contra Costa","218281","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:97","Contra Costa","495000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:96","Butte","101299","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:94","Contra Costa, Alameda","740000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:93","Alameda","60000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:2453","Madera","60000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:2380","Shasta","29000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:2365","Solano","155000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:2348","Placer","127000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:2347","Santa Barbara","97000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:2346","El Dorado","125000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:2199","Nevada","13754","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:193","Yolo","68000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:190","Ventura","250000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:189","Sutter","70000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:187","Stanislaus","230000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:186","Sonoma","28000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:184","Sonoma","237800","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:183","Solano","121000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:182","Shasta","60000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:180","Santa Cruz, Monterey","60000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:179","Santa Cruz","160000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:178","Santa Cruz","94000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:177","Santa Cruz","164000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:176","Santa Clara","1500000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:175","Santa Clara","236000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:174","Santa Clara","110338","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:173","Santa Clara","153000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:172","Santa Barbara","77600","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:170","San Mateo","199000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:169","San Mateo","27000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:168","San Mateo","150000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:166","San Luis Obispo","39000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:165","San Luis Obispo","47545","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:164","San Luis Obispo","31037","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:162","San Luis Obispo","14465","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:161","San Luis Obispo","15000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:157","San Joaquin","29000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:155","San Joaquin","68000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:148","San Francisco, San Mateo","750000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:147","San Francisco, San Mateo","250000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:145","San Diego","2200000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:143","San Bernardino","890000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:140","Sacramento","1480000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:139","Riverside","91980","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:138","Riverside","350000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:137","Plumas","4217","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:136","Placer","108444","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:131","El Dorado, Nevada, Placer","50000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:130","Napa","83300","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:129","Napa","20256","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:128","Monterey","16000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:127","Monterey","262000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:125","Merced","91000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:121","Marin","53000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:120","Marin","30000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:118","Marin","104250","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:115","Ventura, Los Angeles","75000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:114","Los Angeles","3500000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:113","Ventura, Los Angeles","4000000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:112","Los Angeles","200000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:106","Kern","168750","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:101","El Dorado","30000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:100","Del Norte","15372","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:95","Butte","44000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:2601","Alameda","95000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:2571","Alameda","342000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:188","Stanislaus","86000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:171","Santa Barbara","69290","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:160","San Luis Obispo","6031","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:144","San Bernardino","325000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:141","San Benito","43000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:135","Orange","1800000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:126","Mono","8200","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:111","Lake","13200","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:108","Kings","56000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:2573","Alameda","160000","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:2572","Alameda","150000","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"California","ID:194","Yolo","59000","High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Colorado","ID:252","Pueblo","96515","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Colorado","ID:232","La Plata","23429","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Colorado","ID:201","Alamosa","18364","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Colorado","ID:264","Weld","83319","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Colorado","ID:255","San Miguel","15000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Colorado","ID:249","Pitkin","5500","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Colorado","ID:246","Otero","29643","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Colorado","ID:2364","Adams","40071","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Colorado","ID:235","Larimer","92127","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Colorado","ID:229","Garfield","16714","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Colorado","ID:224","El Paso","303855","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Colorado","ID:223","El Paso","102204","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Colorado","ID:215","Douglas","25000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Colorado","ID:214","Douglas","35000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Colorado","ID:213","Douglas","60571","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Colorado","ID:205","Boulder","89383","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Colorado","ID:203","Arapahoe","247443","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Colorado","ID:199","Denver","709904","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Colorado","ID:198","Jefferson","345454","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Colorado","ID:195","Arapahoe, Adams","268004","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Colorado","ID:242","Mesa","89286","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Colorado","ID:260","Summit","35643","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Colorado","ID:253","Routt","43741","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Connecticut","ID:278","New London","41000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Connecticut","ID:272","Fairfield","52268","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Connecticut","ID:271","Fairfield","72914","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Connecticut","ID:270","Fairfield","45878","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Connecticut","ID:2556","Hartford","250000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Connecticut","ID:2457","Litchfield","30000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Connecticut","ID:277","New London","40000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Connecticut","ID:276","New Haven","115000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Connecticut","ID:275","New Haven","233000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Connecticut","ID:2458","Litchfield","7105","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Connecticut","ID:268","Fairfield","140000","High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Connecticut","ID:267","Fairfield","100000","High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Connecticut","ID:2459","Tolland","31000","High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Connecticut","ID:269","Fairfield","85000","Very High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Delaware","ID:289","Sussex","75000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Delaware","ID:288","Sussex","4050","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Delaware","ID:283","New Castle","539000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Delaware","ID:290","Sussex","13172","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Delaware","ID:286","Kent","130000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Delaware","ID:284","Sussex","7000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Delaware","ID:287","Sussex","4392","High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Delaware","ID:281","New Castle","17145","High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"District of Columbia","ID:300","Fairfax, Prince Georges, District Of Columbia, Loudoun, Montgomery, Arlington","1600000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Florida","ID:324","Orange, Seminole","95000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Florida","ID:322","Sarasota","100000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Florida","ID:319","Pinellas","94218","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Florida","ID:318","Pinellas","89847","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Florida","ID:315","Orange","463672","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Florida","ID:309","Miami-Dade","900000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Florida","ID:308","Miami-Dade","829725","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Florida","ID:307","Leon","212065","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Florida","ID:304","Escambia","207000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Florida","ID:316","Martin, Palm Beach","100000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Florida","ID:314","Orange","66690","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Florida","ID:313","Orange","277823","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Florida","ID:312","Orange","80000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Georgia","ID:353","Richmond","200000","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Georgia","ID:349","Paulding","14000","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Georgia","ID:348","Paulding","19000","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Georgia","ID:347","Newton","22675","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Georgia","ID:342","Gwinnett","496000","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Georgia","ID:335","Forsyth","44000","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Georgia","ID:334","Floyd","38111","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Georgia","ID:333","Douglas","37256","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Georgia","ID:330","Cobb","304020","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Georgia","ID:329","Cobb","113079","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Georgia","ID:328","Clayton","124000","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Georgia","ID:327","Clarke","60000","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Georgia","ID:2359","Peach","8008","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Georgia","ID:341","Fulton","70887","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Georgia","ID:340","Fulton","105160","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Georgia","ID:339","Fulton","294660","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Georgia","ID:337","Fulton","189593","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Georgia","ID:336","Fulton","84486","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Georgia","ID:326","Cherokee, Fulton","12818","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Georgia","ID:346","Muscogee, Chattahoochee","278000","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Georgia","ID:338","Fulton","73821","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Guam","ID:2187","Guam","14535","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Guam","ID:2188","Guam","64247","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Guam","ID:2186","Guam","70486","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Hawaii","ID:369","Maui","58900","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Hawaii","ID:368","Maui","50700","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Hawaii","ID:367","Maui","46800","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Hawaii","ID:362","Honolulu","19000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Hawaii","ID:361","Honolulu","47000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Hawaii","ID:360","Honolulu","400000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Hawaii","ID:358","Honolulu","101000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Hawaii","ID:357","Hawaii","32604","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Hawaii","ID:359","Honolulu","340000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Idaho","ID:386","Kootenai","50540","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Idaho","ID:372","Ada","206629","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Idaho","ID:370","Ada","97237","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Idaho","ID:2287","Latah","25500","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:476","Morgan","23818","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:452","Knox","39153","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:408","Cass","5446","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:499","Winnebago","353599","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:498","Will","50458","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:497","Whiteside","18678","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:496","Washington","3425","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:495","Warren","10836","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:494","Vermilion","30479","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:490","Shelby","5329","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
